起始城市,目标城市,时间,费用
北京,天津,9131,30
北京,上海,55034,565
北京,重庆,80080,813
北京,合肥,46462,454
北京,芜湖,49582,511
北京,蚌埠,40694,395
北京,淮南,42540,414
北京,马鞍山,48128,475
北京,淮北,35347,335
北京,铜陵,51626,362
北京,安庆,53305,529
北京,黄山,57404,409
北京,滁州,41373,425
北京,阜阳,36481,353
北京,宿州,35917,356
北京,六安,41874,421
北京,亳州,32151,306
北京,池州,53654,355
北京,宣城,50919,362
北京,巢湖,45825,471
北京,福州,77337,906
北京,厦门,83324,962
北京,莆田,79891,909
北京,三明,72964,832
北京,泉州,81676,948
北京,漳州,81961,946
北京,南平,71821,829
北京,龙岩,77912,880
北京,宁德,80003,613
北京,南昌,60639,606
北京,景德镇,56005,614
北京,萍乡,64311,670
北京,九江,55818,552
北京,新余,60837,718
北京,鹰潭,61326,671
北京,赣州,70653,827
北京,吉安,64434,755
北京,宜春,62144,723
北京,抚州,62607,660
北京,上饶,63909,704
北京,兰州,63987,574
北京,嘉峪关,81564,763
北京,金昌,68530,636
北京,白银,60259,553
北京,天水,64835,616
北京,武威,65590,600
北京,张掖,73591,683
北京,平凉,60066,561
北京,酒泉,81388,748
北京,庆阳,53866,504
北京,定西,67508,603
北京,陇南,72478,762
北京,临夏州,71459,619
北京,甘南州,74491,669
北京,广州,88128,873
北京,韶关,79076,748
北京,深圳,93565,956
北京,珠海,96322,933
北京,汕头,87491,973
北京,佛山,90956,985
北京,江门,92366,1016
北京,湛江,97310,1166
北京,茂名,94598,1143
北京,肇庆,87775,1036
北京,惠州,87394,931
北京,梅州,79217,904
北京,汕尾,86381,958
北京,河源,81501,931
北京,阳江,97783,928
北京,清远,84767,828
北京,东莞,92258,977
北京,中山,92932,905
北京,潮州,85210,954
北京,揭阳,84493,949
北京,云浮,87189,1047
北京,南宁,93924,1072
北京,柳州,84708,963
北京,桂林,78529,900
北京,梧州,85649,1028
北京,北海,98671,1147
北京,防城港,98020,1134
北京,钦州,94953,1099
北京,贵港,90934,1051
北京,玉林,89441,964
北京,百色,98883,1371
北京,贺州,80784,967
北京,河池,85895,920
北京,来宾,86425,993
北京,崇左,97712,1127
北京,贵阳,85402,1096
北京,六盘水,98877,1115
北京,遵义,91252,940
北京,安顺,90469,1156
北京,黔西南州,99069,1318
北京,黔东南州,83085,968
北京,海口,106349,1217
北京,三亚,117796,1217
北京,五指山,114389,1217
北京,琼海,111092,1217
北京,儋州,111092,1220
北京,文昌,109767,1217
北京,万宁,114048,1217
北京,东方,116342,1220
北京,定安,110212,1217
北京,屯昌,109974,1217
北京,澄迈,108076,1220
北京,临高,107987,1220
北京,白沙,117328,1217
北京,昌江,112267,1220
北京,乐东,116119,1217
北京,陵水,115740,1217
北京,保亭,116405,1217
北京,琼中,111692,1217
北京,石家庄,14918,100
北京,唐山,10843,65
北京,秦皇岛,15539,114
北京,邯郸,20478,165
北京,邢台,18044,147
北京,保定,11105,48
北京,张家口,11328,69
北京,承德,12434,103
北京,沧州,10995,72
北京,廊坊,7055,8
北京,衡水,13117,103
北京,郑州,28570,276
北京,开封,27248,279
北京,洛阳,33589,330
北京,平顶山,34029,356
北京,安阳,22934,192
北京,鹤壁,23459,210
北京,新乡,25958,239
北京,焦作,29282,281
北京,濮阳,22276,201
北京,许昌,31786,314
北京,漯河,33780,336
北京,三门峡,37742,378
北京,南阳,39004,408
北京,商丘,29848,273
北京,信阳,39729,424
北京,周口,31745,337
北京,驻马店,35884,383
北京,哈尔滨,57192,494
北京,齐齐哈尔,56437,575
北京,鸡西,65998,682
北京,鹤岗,71848,662
北京,双鸭山,71057,679
北京,大庆,50520,520
北京,伊春,66478,630
北京,佳木斯,68064,652
北京,七台河,68711,707
北京,牡丹江,60114,609
北京,黑河,71942,790
北京,绥化,59432,533
北京,大兴安岭地区,84259,731
北京,武汉,48084,502
北京,黄石,48163,554
北京,十堰,48187,493
北京,宜昌,53518,560
北京,襄阳,43639,459
北京,鄂州,47802,544
北京,荆门,48904,517
北京,孝感,46596,480
北京,荆州,51513,560
北京,黄冈,46699,535
北京,咸宁,51798,536
北京,随州,43880,462
北京,恩施,63554,717
北京,仙桃,49896,527
北京,潜江,52565,542
北京,天门,49198,517
北京,长沙,61484,631
北京,株洲,63641,640
北京,湘潭,62485,648
北京,衡阳,66554,768
北京,邵阳,68084,784
