origin,destination,lng_lat_distance,baidu_map_distance,duration,toll
北京,上海,1070.161321,1229.9589999999996,55034,565
北京,天津,112.04555729999998,130.67600000000002,9131,30
北京,重庆,1464.531024,1759.927,80080,813
北京,合肥,901.1160898,1023.44,46462,454
北京,安庆,1047.2497449999996,1186.013,53305,529
北京,蚌埠,784.0183667,888.424,40694,395
北京,亳州,676.6204856,748.505,32151,306
北京,巢湖,935.9325401,1055.036,45825,471
北京,池州,1036.719961,1210.38,53654,355
北京,滁州,864.9349966,958.119,41373,425
北京,阜阳,784.1260512,857.696,36481,353
北京,淮北,665.5032444,763.913,35347,335
北京,淮南,813.1215926,933.16,42540,414
北京,黄山,1148.051099,1331.727,57404,409
北京,六安,910.0266807,1006.284,41874,421
北京,马鞍山,937.102123,1052.603,48128,475
北京,宿州,702.5444837,795.548,35917,356
北京,铜陵,1008.912499,1158.3,51626,362
北京,芜湖,970.0777918,1108.966,49582,511
北京,宣城,1021.94218,1149.218,50919,362
北京,福州,1569.268857,1877.651,77337,906
北京,龙岩,1654.258522,1915.359,77912,880
北京,南平,1488.245863,1747.842,71821,829
北京,宁德,1506.025657,1820.23,80003,613
北京,莆田,1631.311332,1951.139,79891,909
北京,泉州,1685.564709,1983.789,81676,948
北京,三明,1524.918858,1779.197,72964,832
北京,厦门,1726.271016,2014.58,83324,962
北京,漳州,1719.9352420000002,2028.015,81961,946
北京,兰州,1182.5471189999996,1436.491,63987,574
北京,白银,1132.103038,1365.076,60259,553
北京,定西,1141.853572,1538.615,67508,603
北京,甘南州,1309.833207,1663.1470000000006,74491,669
北京,嘉峪关,1545.108938,1960.868,81564,763
北京,金昌,1232.251428,1600.539,68530,636
北京,酒泉,1526.589667,1940.232,81388,748
北京,临夏州,1254.52999,1572.686,71459,619
北京,陇南,1253.975475,1614.039,72478,762
北京,平凉,982.9694604,1330.785,60066,561
北京,庆阳,899.9112620999997,1171.008,53866,504
北京,天水,1115.017221,1405.227,64835,616
北京,武威,1210.432059,1503.773,65590,600
北京,张掖,1372.712975,1735.939,73591,683
北京,广州,1893.727274,2128.963,88128,873
北京,潮州,1811.098699,2096.25,85210,954
北京,东莞,1896.12693,2146.0660000000007,92258,977
北京,佛山,1905.657926,2150.018,90956,985
北京,河源,1807.251845,1985.308,81501,931
北京,惠州,1881.305932,2072.141,87394,931
北京,江门,1957.148373,2209.429,92366,1016
北京,揭阳,1823.635082,2075.554,84493,949
北京,茂名,2097.807857,2377.071,94598,1143
北京,梅州,1739.5959510000002,1970.18,79217,904
北京,清远,1834.14253,2067.175,84767,828
北京,汕头,1842.167202,2120.129,87491,973
北京,汕尾,1911.70352,2166.4,86381,958
北京,韶关,1704.143105,1919.049,79076,748
北京,深圳,1948.057748,2162.382,93565,956
北京,阳江,2053.334149,2337.697,97783,928
北京,云浮,1935.341233,2188.076,87189,1047
北京,湛江,2156.017117000001,2460.555,97310,1166
北京,肇庆,1911.785904,2170.319,87775,1036
北京,中山,1955.521238,2207.2,92932,905
北京,珠海,1985.501642,2252.46,96322,933
北京,南宁,2053.383459,2331.773,93924,1072
北京,百色,2005.541199,2420.854,98883,1371
北京,北海,2167.34543,2460.681,98671,1147
北京,崇左,2128.349245,2462.439,97712,1127
北京,防城港,2176.436014,2455.424,98020,1134
北京,桂林,1729.944009,1947.94,78529,900
北京,贵港,1978.97296,2264.173,90934,1051
北京,河池,1865.413317,2198.005,85895,920
北京,贺州,1786.026032,2042.841,80784,967
北京,来宾,1923.515035,2163.103,86425,993
北京,柳州,1855.32187,2102.524,84708,963
北京,钦州,2129.430657,2396.502,94953,1099
北京,梧州,1892.09184,2147.629,85649,1028
北京,玉林,2012.43198,2306.396,89441,964
北京,贵阳,1730.8065829999994,2072.994,85402,1096
北京,安顺,1807.887148,2169.152,90469,1156
北京,毕节地区,1738.6286120000002,2143.27,94761,1022
北京,六盘水,1829.214032,2257.223,98877,1115
北京,铜仁地区,1511.5140279999994,1803.634,75064,845
北京,遵义,1616.282037,1988.943,91252,940
北京,黔西南州,1968.736835,2377.641,99069,1318
北京,黔东南州,1677.330007,1975.435,83085,968
北京,黔南州,1729.436823,2048.953,86501,1005
北京,海口,2290.479096,2624.095,106349,1217
北京,白沙,2402.299924,2815.915,117328,1217
北京,保亭,2461.263941,2852.343,116405,1217
北京,昌江,2411.145676,2797.415,112267,1220
北京,儋州,2362.601183,2731.0840000000007,111092,1220
北京,澄迈,2334.282232,2663.223,108076,1220
北京,东方,2439.725953,2846.403,116342,1220
北京,定安,2348.297398,2694.173,110212,1217
北京,琼海,2376.065731,2726.503,111092,1217
北京,琼中,2408.29686,2747.588,111692,1217
北京,乐东,2470.280957,2861.679,116119,1217
北京,临高,2329.080616,2683.192,107987,1220
北京,陵水,2456.374637,2841.632,115740,1217
北京,三亚,2501.364345,2894.5040000000013,117796,1217
北京,屯昌,2369.9968,2705.022,109974,1217
北京,万宁,2419.602367,2789.16,114048,1217
北京,文昌,2309.492897,2690.293,109767,1217
北京,五指山,2439.56254,2803.509,114389,1217
北京,石家庄,264.7973745,292.75,14918,100
北京,保定,139.62192140000002,155.808,11105,48
北京,沧州,186.1584774,204.355,10995,72
北京,承德,175.957227,227.427,12434,103
北京,邯郸,405.6769204,450.926,20478,165
北京,衡水,250.6782489,270.212,13117,103
北京,廊坊,52.84224488,61.613,7055,8
北京,秦皇岛,273.8660865,294.9770000000001,15539,114
北京,唐山,156.0528014,179.00799999999995,10843,65
北京,邢台,357.861317,401.895,18044,147
北京,张家口,160.7653989,189.033,11328,69
北京,郑州,624.9830327999998,692.418,28570,276
北京,安阳,461.4045467,512.762,22934,192
北京,鹤壁,499.9228811,549.202,23459,210
北京,焦作,593.2618307999999,701.9730000000003,29282,281
北京,开封,598.7691844999998,648.159,27248,279
北京,洛阳,683.0080102999998,808.0880000000003,33589,330
北京,漯河,737.6009811,814.9639999999997,33780,336
北京,南阳,843.6355262,932.538,39004,408
北京,平顶山,741.4976035,822.209,34029,356
北京,濮阳,480.2514384,524.394,22276,201
北京,三门峡,735.3089981,913.302,37742,378
北京,商丘,614.9362244,682.663,29848,273
北京,新乡,559.1692829,615.177,25958,239
北京,信阳,892.9056268999999,980.1,39729,424
北京,许昌,695.3819072000001,760.7260000000001,31786,314
北京,周口,718.931224,775.59,31745,337
北京,驻马店,801.2577715,879.318,35884,383
北京,哈尔滨,1058.985368,1280.705,57192,494
北京,大庆,1018.478295,1236.626,50520,520
北京,大兴安岭地区,1470.128376,2027.851,84259,731
北京,鹤岗,1387.205462,1696.098,71848,662
北京,黑河,1439.508722,1853.884,71942,790
北京,鸡西,1331.370099,1597.9229999999998,65998,682
北京,佳木斯,1357.146694,1628.171,68064,652
北京,牡丹江,1203.836987,1434.994,60114,609
北京,七台河,1356.305081,1659.067,68711,707
北京,齐齐哈尔,1026.491804,1382.267,56437,575
北京,双鸭山,1408.542184,1707.6529999999998,71057,679
北京,绥化,1136.539792,1363.8829999999996,59432,533
北京,伊春,1325.533961,1577.3829999999994,66478,630
北京,武汉,1057.647704,1166.402,48084,502
北京,鄂州,1071.289394,1154.639,47802,544
北京,恩施,1239.694917,1493.4979999999994,63554,717
北京,黄冈,1064.346928,1148.914,46699,535
北京,黄石,1088.221157,1185.444,48163,554
北京,荆门,1058.999267,1179.46,48904,517
北京,荆州,1132.954027,1255.419,51513,560
北京,潜江,1116.824353,1252.622,52565,542
北京,神农架林区,1069.676512,1277.442,56382,541
北京,十堰,954.022375,1160.713,48187,493
北京,随州,953.6745997000003,1044.406,43880,462
北京,天门,1074.782512,1178.439,49198,517
北京,仙桃,1106.901078,1230.258,49896,527
北京,咸宁,1134.824433,1243.318,51798,536
北京,襄阳,951.0330298,1054.624,43639,459
北京,孝感,1026.515499,1126.162,46596,480
北京,宜昌,1122.616073,1300.671,53518,560
北京,长沙,1341.4689449999996,1477.717,61484,631
北京,常德,1290.380398,1431.727,59764,672
北京,郴州,1605.560905,1767.564,72289,676
北京,衡阳,1492.885473,1636.659,66554,768
北京,怀化,1498.516321,1709.566,73098,784
北京,娄底,1416.00017,1580.754,65043,755
北京,邵阳,1484.556976,1678.578,68084,784
北京,湘潭,1383.520873,1519.601,62485,648
北京,湘西州,1429.4305470000006,1672.604,69106,804
北京,益阳,1315.453788,1484.516,61150,693
北京,永州,1566.114958,1753.5739999999994,71774,827
北京,岳阳,1211.48818,1331.3670000000004,56162,612
北京,张家界,1318.616928,1519.4920000000006,63522,678
北京,株洲,1380.315773,1542.437,63641,640
北京,南京,902.1719376,1023.244,47676,344
北京,常州,963.8904614,1100.428,48055,514
北京,淮安,741.9914457,842.633,39483,391
北京,连云港,642.1003726,756.448,34026,319
北京,南通,968.7397925,1120.58,48330,519
北京,苏州,1031.726231,1149.302,53729,546
北京,宿迁,686.5725405000002,788.85,33976,233
北京,泰州,887.8833728,1006.975,46982,474
北京,无锡,995.1133581,1117.632,48669,522
北京,徐州,633.8026281,699.8330000000003,31372,305
北京,盐城,802.2950191000001,959.812,39947,442
北京,扬州,880.3489442,997.817,43881,461
北京,镇江,902.8474175,1035.775,45578,479
北京,南昌,1252.121433,1404.932,60639,606
北京,抚州,1333.103818,1509.81,62607,660
北京,赣州,1573.759695,1746.068,70653,827
北京,吉安,1432.562753,1585.985,64434,755
北京,景德镇,1185.129373,1333.07,56005,614
北京,九江,1137.18211,1281.498,55818,552
北京,萍乡,1387.955406,1569.206,64311,670
北京,上饶,1285.083982,1531.583,63909,704
北京,新余,1354.393353,1498.279,60837,718
北京,宜春,1361.505796,1515.977,62144,723
北京,鹰潭,1302.502782,1468.188,61326,671
北京,长春,860.0346843,985.168,41626,415
北京,白城,823.2603126,1051.941,47614,363
北京,白山,873.0333926000003,1023.461,44514,438
北京,吉林市,949.0300397,1089.493,46423,466
北京,辽源,801.3238097,910.875,38309,387
北京,四平,757.2911230000003,875.5880000000003,36834,372
北京,松原,901.8471527,1070.765,43707,449
北京,通化,828.3789172,944.789,40819,401
北京,延边,1140.253719,1394.856,57899,590
北京,沈阳,627.9882152,689.745,30183,285
北京,鞍山,574.7769594,679.528,29861,283
北京,本溪,642.552309,735.487,32212,305
北京,朝阳,387.3457215,482.452,22122,223
北京,大连,459.948079,841.867,35647,354
北京,丹东,677.1802444,845.7439999999997,36507,357
北京,抚顺,669.6610019999998,741.865,31967,310
北京,阜新,499.7838101,605.488,27239,249
北京,葫芦岛,389.4939218,437.62300000000016,20254,174
北京,锦州,423.6463286,482.957,22904,191
北京,辽阳,591.7948635,670.232,29465,280
北京,盘锦,498.7996692,565.781,25369,233
北京,铁岭,678.6187296,759.0980000000003,32680,319
北京,营口,502.3042889,629.48,28523,256
北京,呼和浩特,413.7599537,496.658,22276,192
北京,阿拉善盟,927.9324379,1128.309,53263,393
北京,包头,561.701495,658.466,28896,251
北京,巴彦淖尔,766.5144309,885.8539999999997,36847,336
北京,赤峰,338.5528149,415.896,20034,186
北京,鄂尔多斯,546.9704778,693.7719999999997,34559,264
北京,呼伦贝尔,1065.773343,1838.307,73545,754
北京,通辽,637.6686515,752.435,31507,309
北京,乌海,817.9217886,1036.542,42455,406
北京,乌兰察布,303.3881275,346.121,17396,135
北京,锡林郭勒盟,447.39923430000016,607.924,25160,230
北京,兴安盟,824.7353508,1045.836,46751,319
北京,银川,892.5049149,1124.726,52239,427
北京,固原,987.2998318,1334.685,58974,539
北京,石嘴山,866.1474265,1034.014,49561,393
北京,吴忠,907.2000137,1156.602,52778,483
北京,中卫,1008.081504,1223.406,54987,505
北京,西宁,1327.791744,1636.368,71747,657
北京,果洛州,1553.929803,2169.96,95739,803
北京,海东地区,1306.162016,1602.026,69870,648
北京,海北州,1390.572659,1737.884,77331,657
北京,海南州,1437.61141,1771.3529999999994,78956,657
北京,海西州,1677.299912,2119.798,92498,657
北京,黄南州,1356.52424,1739.6470000000006,76322,706
北京,玉树州,1893.376624,2421.777,108891,841
北京,济南,365.6298372,419.399,18856,120
北京,滨州,312.5075165,360.649,19919,130
北京,东营,331.7627976,396.33,20188,175
北京,德州,274.9281327,308.226,14776,116
北京,菏泽,526.045393,599.114,26013,240
北京,济宁,504.3631302,578.543,27069,188
北京,莱芜,426.6792075,487.376,20877,201
北京,聊城,388.3900375,453.349,20236,170
北京,临沂,567.3289322,651.6759999999998,28365,209
北京,青岛,550.9128847999998,665.313,30718,284
北京,日照,571.9024117,685.431,30461,307
北京,泰安,420.9580149,467.901,20789,194
北京,威海,562.2645338,799.185,34637,336
北京,潍坊,430.7003265,526.719,25571,230
北京,烟台,502.9369478,723.5880000000003,31708,307
北京,枣庄,575.514595,625.304,27590,275
北京,淄博,376.9660715,480.472,20989,203
北京,太原,403.0141839,487.24300000000005,23549,195
北京,长治,504.5450637,591.615,27755,219
北京,大同,265.4832622,342.756,16533,125
北京,晋城,582.7534258,692.812,31325,262
北京,晋中,403.2011753,494.773,24584,191
北京,临汾,602.503948,734.177,34370,275
北京,吕梁,528.6327691,673.321,31174,266
北京,朔州,342.0827796,456.371,20021,169
北京,忻州,356.1340812,449.2,21697,169
北京,阳泉,335.4758258,395.52,19858,152
北京,运城,722.9128347999997,867.3960000000003,39375,327
北京,西安,911.7645916,1083.155,51314,410
北京,安康,1039.608384,1289.6,59323,557
北京,宝鸡,1025.647804,1240.946,54781,511
北京,汉中,1130.6641960000004,1346.082,61264,554
北京,商洛,885.6486715,1131.787,51694,483
北京,铜川,861.8184532,1053.564,45244,357
北京,渭南,859.9751361,1032.252,46748,414
北京,咸阳,922.3380986,1102.092,50518,421
北京,延安,707.0046378999997,923.022,44466,377
北京,榆林,602.916249,760.4760000000001,36392,346
北京,成都,1518.581301,1788.8770000000006,81871,773
北京,阿坝州,1555.445197,2055.085,90727,867
北京,巴中,1247.659244,1511.003,70107,672
北京,达州,1259.856488,1537.5179999999998,69769,737
北京,德阳,1460.316759,1723.4879999999994,76917,747
北京,甘孜州,1710.448095,2045.926,91249,948
北京,广安,1376.056657,1697.205,77184,791
北京,广元,1262.404436,1514.174,69495,653
北京,乐山,1626.802493,1940.844,91598,835
北京,凉山州,1866.448654,2240.878,102514,1043
北京,泸州,1584.857436,1931.406,87622,900
北京,南充,1378.363539,1680.039,76379,773
北京,眉山,1583.618755,1876.354,87544,811
北京,绵阳,1410.504299,1674.386,76145,729
北京,内江,1544.782734,1849.474,81559,860
北京,攀枝花,2012.251745,2418.62,105659,1189
北京,遂宁,1432.404216,1722.6129999999994,77271,788
北京,雅安,1643.719947,1943.18,90761,839
北京,宜宾,1643.758266,1960.061,87455,912
北京,资阳,1526.551496,1844.06,81826,853
北京,自贡,1583.675023,1888.913,83391,886
北京,拉萨,2566.076235,3537.9640000000004,177447,807
北京,阿里地区,3356.562825,4782.945,249347,807
北京,昌都地区,1990.192461,2890.903,140653,933
北京,林芝地区,2307.220396,3392.241,193814,948
北京,那曲地区,2381.943642,3212.727000000001,154989,807
北京,日喀则地区,2770.481573,3800.141,194933,807
北京,山南地区,2541.554572,3677.583,184633,807
北京,乌鲁木齐,2415.928998,2780.5690000000004,108576,891
北京,阿拉尔,2962.562537,3565.515,141615,1058
北京,阿克苏地区,3036.767219000001,3520.192,138622,1078
北京,阿勒泰地区,2415.374956,3209.679,124930,1049
北京,巴音郭楞,2544.227223,2986.307,117795,952
北京,博尔塔拉州,2853.919563,3292.184,131619,1081
北京,昌吉州,2437.647683,2811.821,110943,901
北京,哈密地区,1931.06877,2207.429,84502,718
北京,和田地区,3169.120817,4286.923,167511,1280
北京,喀什地区,3430.736919,3978.936,157411,1204
北京,克拉玛依,2633.28558,3161.383,124834,1043
北京,克孜勒苏州,3411.273829,3943.033,155426,1195
北京,石河子,2538.106861,2917.038,115190,948
北京,塔城地区,2787.007044,3389.393,133872,1127
北京,图木舒克,3152.751501,3743.215,147181,1125
北京,吐鲁番地区,2285.531758,2593.345,99497,851
北京,五家渠,2416.949397,2867.168,115181,896
北京,伊犁州,2918.226008,3455.085,140274,1155
北京,昆明,2090.7826170000008,2586.167,107947,1431
北京,保山,2300.277577,2835.93,122714,1377
北京,楚雄州,2158.3291280000008,2737.3920000000007,114965,1501
北京,大理州,2192.293314,2723.0170000000007,129758,1255
北京,德宏州,2396.4434,2973.9190000000012,131051,1469
北京,迪庆州,2040.777472,2765.352000000001,117788,1228
北京,红河州,2212.471435,2697.756,112288,1453
北京,丽江,2083.691467,2610.043,112984,1228
北京,临沧,2350.393949,3071.927,130042,1559
北京,怒江州,2258.922268,2891.565,125941,1365
北京,普洱,2398.078112,2991.717,129295,1648
北京,曲靖,1987.459392,2447.498,103296,1357
北京,昭通,1824.398839,2201.07,98119,1094
北京,文山,2173.269902,2742.688,114976,1485
北京,西双版纳,2480.580697,3072.507,139278,1611
北京,玉溪,2163.062147,2667.046,111900,1470
北京,杭州,1131.152689,1295.885,56679,598
北京,湖州,1063.03306,1186.96,53465,558
北京,嘉兴,1093.176639,1227.203,55233,576
北京,金华,1241.473961,1460.736,61543,694
北京,丽水,1317.718018,1521.4129999999998,67832,727
北京,宁波,1213.5727880000004,1359.068,61489,419
北京,衢州,1242.401702,1469.634,63808,701
北京,绍兴,1169.179354,1333.64,59983,662
北京,台州,1336.101426,1509.15,66352,451
北京,温州,1385.179521,1588.925,69268,503
北京,舟山,1220.098565,1424.898,63766,453
上海,天津,960.7930029,1086.386,48165,433
上海,重庆,1447.495232,1689.57,79450,886
上海,合肥,404.7471083,459.508,26982,176
上海,安庆,430.410996,483.725,20965,238
上海,蚌埠,432.1165897,485.538,27497,168
上海,亳州,609.1111149000002,700.8480000000003,34701,266
上海,巢湖,344.9723263,389.692,23602,155
上海,池州,386.807801,431.142,18987,195
上海,滁州,322.0706982,360.94,22711,112
上海,阜阳,565.2013596,627.4169999999998,32440,253
上海,淮北,533.7801325,612.943,32081,216
上海,淮南,449.7199336,513.01,27780,201
上海,黄山,349.7199463,404.11300000000006,20617,168
上海,六安,476.2224675,545.898,29882,217
上海,马鞍山,286.3817309,326.509,21399,101
上海,宿州,499.2169667,566.943,29486,208
上海,铜陵,351.3565211,385.345,17516,173
上海,芜湖,295.4790019,350.445,16158,153
上海,宣城,262.8611167,286.942,14339,118
上海,福州,616.2104452000002,784.068,36376,396
上海,龙岩,814.7945814,1017.672,44960,480
上海,南平,605.3493187000001,739.665,32636,323
上海,宁德,545.217671,687.9019999999997,31952,344
上海,莆田,687.4830326,860.207,39409,443
上海,泉州,761.2929422,939.79,42098,488
上海,三明,669.1668367999997,819.8610000000001,36112,370
上海,厦门,822.757371,1018.916,45873,519
上海,漳州,837.8407612999997,1051.44,47080,548
上海,兰州,1719.34717,1996.927,91173,863
上海,白银,1702.2027899999994,2063.726,92591,882
上海,定西,1636.905491,1906.495,86387,839
上海,甘南州,1777.903818,2149.483,96146,987
上海,嘉峪关,2299.001504,2725.371,115401,1095
上海,金昌,1932.415055,2365.042,101430,969
上海,酒泉,2278.459389,2704.9,114299,1089
上海,临夏州,1762.370057,2059.022,92098,937
上海,陇南,1573.664381,1873.571,83126,963
上海,平凉,1454.496973,1679.537,76232,746
上海,庆阳,1376.9277949999994,1627.825,73258,730
上海,天水,1516.2145460000006,1716.8570000000002,80412,809
上海,武威,1876.160747,2268.265,98319,933
上海,张掖,2091.349662,2500.442,106696,1015
