序号,出发地,抵达地,航班号,航空公司,飞机号,起步价,载客量,头等舱,商务舱,经济舱,起飞机场,降落机场,月,日,星期,时,分,抵达时,抵达分
1,北京,长沙,CZ3856,南方航空,A320,2169,158,0,4,101,首都机场,黄花机场,10,19,5,6,10,9,0
2,北京,长沙,CZ3164,南方航空,A320,1446,158,0,0,58,首都机场,黄花机场,6,27,1,8,5,10,45
3,北京,长沙,CZ3164,南方航空,A320,1591,158,0,7,43,首都机场,黄花机场,12,10,5,8,10,10,45
4,北京,长沙,HU7625,海南航空,B787,1301,293,11,33,154,首都机场,黄花机场,1,24,2,8,10,10,50
5,北京,长沙,CZ3124,南方航空,A321,1301,177,0,4,12,首都机场,黄花机场,4,8,1,10,55,13,40
6,北京,长沙,CZ3718,南方航空,A321,1591,177,0,1,2,首都机场,黄花机场,12,21,1,14,10,16,50
7,北京,长沙,CZ3128,南方航空,A320,1446,158,0,2,137,首都机场,黄花机场,3,29,2,15,35,18,10
8,北京,长沙,CZ3148,南方航空,A321,1446,177,0,14,100,首都机场,黄花机场,10,12,5,17,50,20,30
9,北京,长沙,CA1349,中国国航,A321,1446,177,0,9,32,首都机场,黄花机场,10,26,5,19,25,22,5
10,北京,长沙,NZ3917,新西兰航空,A321,2169,177,0,5,92,首都机场,黄花机场,4,21,2,19,25,22,5
11,北京,长沙,ZH1349,深圳航空,A321,1301,177,0,6,140,首都机场,黄花机场,7,28,6,19,25,22,5
12,北京,长沙,CZ3142,南方航空,A321,1735,177,0,3,60,首都机场,黄花机场,5,15,0,21,35,0,10
13,北京,成都,CA4194,中国国航,A320,1867,158,0,6,114,首都机场,双流机场,2,24,1,7,0,10,5
14,北京,成都,TV6102,西藏航空,A320,1697,158,0,3,78,首都机场,双流机场,6,5,2,7,0,10,5
15,北京,成都,ZH4194,深圳航空,A320,2546,158,0,0,74,首都机场,双流机场,10,1,2,7,0,10,5
16,北京,成都,3U8896,四川航空,A320,2206,158,0,0,26,首都机场,双流机场,1,6,6,8,0,11,5
17,北京,成都,CZ6161,南方航空,B777,1358,311,7,11,183,首都机场,双流机场,1,28,5,8,0,11,10
18,北京,成都,CA4112,中国国航,A319,2546,124,0,3,13,首都机场,双流机场,11,29,1,8,20,11,30
19,北京,成都,TV6312,西藏航空,A319,2546,124,0,0,63,首都机场,双流机场,10,31,0,8,20,11,30
20,北京,成都,ZH4112,深圳航空,A319,2376,124,0,4,21,首都机场,双流机场,11,9,0,8,20,11,30
21,北京,成都,CA4198,中国国航,JET,1867,20,0,0,0,首都机场,双流机场,5,3,5,13,0,16,15
22,北京,成都,TV6198,西藏航空,JET,2036,20,0,0,18,首都机场,双流机场,7,2,4,13,0,16,15
23,北京,成都,ZH4198,深圳航空,JET,2206,20,0,0,18,首都机场,双流机场,5,14,1,13,0,16,15
24,北京,成都,CA4116,中国国航,A330,1527,311,20,7,249,首都机场,双流机场,10,14,3,15,0,18,10
25,北京,成都,TV6110,西藏航空,A330,1527,311,14,6,203,首都机场,双流机场,8,27,6,15,0,18,10
26,北京,成都,ZH4116,深圳航空,A330,1527,311,33,4,178,首都机场,双流机场,8,16,3,15,0,18,10
27,北京,成都,3U8888,四川航空,A320,2376,158,0,6,141,首都机场,双流机场,4,17,6,16,50,20,0
28,北京,成都,CZ6119,南方航空,A330,2206,311,25,13,9,首都机场,双流机场,4,7,2,21,10,0,25
29,北京,成都,ZH9163,深圳航空,A320,1358,158,0,7,2,首都机场,双流机场,4,8,1,22,40,1,45
30,北京,重庆,3U3001,四川航空,JET,1312,20,0,0,9,首都机场,江北机场,10,16,1,6,25,9,25
31,北京,重庆,CZ3183,南方航空,JET,2460,20,0,0,8,首都机场,江北机场,12,28,1,6,25,9,25
32,北京,重庆,G55001,华夏航空,JET,1640,20,0,0,16,首都机场,江北机场,12,2,6,6,25,9,25
33,北京,重庆,MF1075,厦门航空,JET,1312,20,0,0,4,首都机场,江北机场,3,17,0,6,25,9,25
34,北京,重庆,CA1437,中国国航,B737,1148,159,0,10,87,首都机场,江北机场,10,16,1,6,50,9,45
